timestamp,topic,loco_id,event,phase,station,offset,commanded_pwm,actual_pwm,note,seq,source_line
2026-08-08T23:21:55-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Bamboo,-6,60,69,DERIVED_CRUISE_TO_ZONE,,33272
2026-08-08T23:21:57-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-5,60,60,HOLD_60,,33282
2026-08-08T23:21:59-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-4,60,60,HOLD_60,,33294
2026-08-08T23:22:01-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-3,60,60,HOLD_60,,33303
2026-08-08T23:22:04-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-2,60,60,HOLD_60,,33316
2026-08-08T23:22:07-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-1,60,60,HOLD_60,,33326
2026-08-08T23:22:09-0700,ngr/loco/9950011/state/station,9950011,FINAL_APPROACH,2,Bamboo,0,60,60,LOCATION_TRIGGERED_TARGETS,,33341
2026-08-08T23:22:09-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Bamboo,0,60,60,AT_CENTRE_ZONE_SPEED,,33342
2026-08-08T23:22:12-0700,ngr/loco/9950011/state/station,9950011,ZERO_RAMP,3,Bamboo,1,0,60,TRIGGER_M2_REACHED,,33353
2026-08-08T23:22:15-0700,ngr/loco/9950011/state/station,9950011,DWELL_BEGIN,4,Bamboo,1,0,0,FIXED_DWELL,,33365
2026-08-08T23:22:30-0700,ngr/loco/9950011/state/station,9950011,DWELL_COMPLETE,5,Bamboo,1,100,0,DEPART_TO_CRUISE,,33413
2026-08-08T23:22:35-0700,ngr/loco/9950011/state/station,9950011,DEPARTURE_COMPLETE,5,Bamboo,4,100,100,CLEARED_ZONE,,33440
2026-08-08T23:22:35-0700,ngr/loco/9950011/state/station,9950011,RESET,0,NONE,999,100,100,DEPARTED,,33441
2026-08-08T23:22:52-0700,ngr/loco/9950011/state/station,9950011,ARMED,1,Patio,-12,100,100,RANGE_ARM_NORMAL,,33532
2026-08-08T23:22:55-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-10,92,100,DERIVED_CRUISE_TO_ZONE,,33550
2026-08-08T23:22:57-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-9,84,93,DERIVED_CRUISE_TO_ZONE,,33558
2026-08-08T23:22:58-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-8,76,85,DERIVED_CRUISE_TO_ZONE,,33570
2026-08-08T23:23:00-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-7,68,77,DERIVED_CRUISE_TO_ZONE,,33580
2026-08-08T23:23:03-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-6,60,68,DERIVED_CRUISE_TO_ZONE,,33590
2026-08-08T23:23:05-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-5,60,60,HOLD_60,,33603
2026-08-08T23:23:07-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-4,60,60,HOLD_60,,33615
2026-08-08T23:23:10-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-3,60,60,HOLD_60,,33628
2026-08-08T23:23:12-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-2,60,60,HOLD_60,,33638
2026-08-08T23:23:16-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-1,60,60,HOLD_60,,33653
2026-08-08T23:23:18-0700,ngr/loco/9950011/state/station,9950011,FINAL_APPROACH,2,Patio,0,60,60,LOCATION_TRIGGERED_TARGETS,,33664
2026-08-08T23:23:18-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Patio,0,60,60,AT_CENTRE_ZONE_SPEED,,33665
2026-08-08T23:23:21-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Patio,1,45,60,M_PLUS_1_FINAL_SPEED,,33678
2026-08-08T23:23:25-0700,ngr/loco/9950011/state/station,9950011,ZERO_RAMP,3,Patio,2,0,45,TRIGGER_M2_REACHED,,33698
2026-08-08T23:23:28-0700,ngr/loco/9950011/state/station,9950011,DWELL_BEGIN,4,Patio,2,0,0,FIXED_DWELL,,33707
2026-08-08T23:23:43-0700,ngr/loco/9950011/state/station,9950011,DWELL_COMPLETE,5,Patio,2,100,0,DEPART_TO_CRUISE,,33754
2026-08-08T23:23:48-0700,ngr/loco/9950011/state/station,9950011,DEPARTURE_COMPLETE,5,Patio,5,100,100,CLEARED_ZONE,,33784
2026-08-08T23:23:48-0700,ngr/loco/9950011/state/station,9950011,RESET,0,NONE,999,100,100,DEPARTED,,33785
2026-08-08T23:24:22-0700,ngr/loco/9950011/state/station,9950011,ARMED,1,Grillers,-12,100,100,RANGE_ARM_NORMAL,,33979
2026-08-08T23:24:23-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-10,95,100,DERIVED_CRUISE_TO_ZONE,,33994
2026-08-08T23:24:25-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-9,89,96,DERIVED_CRUISE_TO_ZONE,,34001
2026-08-08T23:24:26-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-8,84,90,DERIVED_CRUISE_TO_ZONE,,34010
2026-08-08T23:24:27-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-7,78,85,DERIVED_CRUISE_TO_ZONE,,34019
2026-08-08T23:24:28-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-6,72,79,DERIVED_CRUISE_TO_ZONE,,34029
2026-08-08T23:24:30-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-5,72,73,HOLD_60,,34039
2026-08-08T23:24:32-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-4,72,72,HOLD_60,,34047
2026-08-08T23:24:34-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-3,72,72,HOLD_60,,34059
2026-08-08T23:24:36-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-2,72,72,HOLD_60,,34069
2026-08-08T23:24:39-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-1,72,72,HOLD_60,,34082
2026-08-08T23:24:41-0700,ngr/loco/9950011/state/station,9950011,FINAL_APPROACH,2,Grillers,0,72,72,LOCATION_TRIGGERED_TARGETS,,34093
2026-08-08T23:24:41-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Grillers,0,72,72,AT_CENTRE_ZONE_SPEED,,34094
