
PY          passxception:-fixed:+4}"}  "
FILE: /home/david/NGR/telemetry/runs/9950011_20260914_143544.log
TIME      MM   PWM   FIXED  SHADOW  DIFF
14:42:16   40    0   1949    1936   -13
14:42:17   40    0   1949    1936   -13
14:42:18   40    0   1949    1936   -13
14:42:19   40    0   1949    1936   -13
14:42:20   40    0   1949    1936   -13
14:42:21   40    0   1949    1936   -13
14:42:22   40    0   1949    1936   -13
14:42:23   40    0   1949    1936   -13
14:42:24   40    0   1949    1936   -13
14:42:25   40    0   1949    1936   -13
14:42:26   40    0   1949    1936   -13
14:42:27   40    0   1949    1936   -13
14:42:28   40    0   1949    1936   -13
14:42:29   40    0   1949    1936   -13
14:42:30   40    0   1949    1936   -13
14:42:31   40    0   1949    1936   -13
14:42:32   40    0   1949    1936   -13
14:42:33   40    0   1949    1936   -13
14:42:34   40    0   1949    1936   -13
14:42:35   40    0   1949    1936   -13
14:42:36   40    0   1949    1936   -13
14:42:37   40    0   1949    1936   -13
14:42:38   40    0   1949    1936   -13
14:42:39   40    0   1949    1936   -13
14:42:40   40    0   1949    1936   -13
14:42:41   40    0   1949    1936   -13
14:42:42   40    0   1949    1936   -13
14:42:43   40    0   1949    1936   -13
14:42:44   40    0   1949    1936   -13
14:42:45   40    0   1949    1936   -13
14:42:46   40    0   1949    1936   -13
14:42:47   40    0   1949    1936   -13
14:42:48   40    0   1949    1936   -13
14:42:49   40    0   1949    1936   -13
14:42:50   40    0   1949    1936   -13
14:42:51   40    0   1949    1936   -13
14:42:52   40    0   1949    1936   -13
14:42:53   40    0   1949    1936   -13
14:42:54   40    0   1949    1936   -13
14:42:55   40    0   1949    1936   -13
14:42:56   40    0   1949    1936   -13
14:42:57   40    0   1949    1936   -13
14:42:58   40    0   1949    1936   -13
14:42:59   40    0   1949    1936   -13
14:43:00   40    0   1949    1936   -13
14:43:01   40    0   1949    1936   -13
14:43:02   40    0   1949    1936   -13
14:43:03   40    0   1949    1936   -13
14:43:04   40    0   1949    1936   -13
14:43:05   40    0   1949    1936   -13
14:43:06   40    0   1949    1936   -13
14:43:07   40    0   1949    1936   -13
14:43:08   40    0   1949    1936   -13
14:43:09   40    0   1949    1936   -13
14:43:10   40    0   1949    1936   -13
14:43:11   40    0   1949    1936   -13
14:43:12   40    0   1949    1936   -13
14:43:13   40    0   1949    1936   -13
14:43:14   40    0   1949    1936   -13
14:43:15   40    0   1949    1936   -13
14:43:16   40    0   1949    1936   -13
14:43:17   40    0   1949    1936   -13
14:43:18   40    0   1949    1936   -13
14:43:19   40    0   1949    1936   -13
14:43:20   40    0   1949    1936   -13
14:43:21   40    0   1949    1936   -13
14:43:22   40    0   1949    1936   -13
14:43:23   40    0   1949    1936   -13
14:43:24   40    0   1949    1936   -13
14:43:25   40    0   1949    1936   -13
14:43:26   40    0   1949    1936   -13
14:43:27   40    0   1949    1936   -13
14:43:28   40    0   1949    1936   -13
14:43:29   40    0   1949    1936   -13
14:43:30   40    0   1949    1936   -13
14:43:31   40    0   1949    1936   -13
14:43:32   40    0   1949    1936   -13
14:43:33   40    0   1949    1936   -13
14:43:34   40    0   1949    1936   -13
14:43:35   40    0   1949    1936   -13
14:43:36   40    0   1949    1936   -13
14:43:37   40    0   1949    1936   -13
14:43:38   40    0   1949    1936   -13
14:43:39   40    0   1949    1936   -13
14:43:40   40    0   1949    1936   -13
14:43:41   40    0   1949    1936   -13
14:43:42   40    0   1949    1936   -13
14:43:43   40    0   1949    1936   -13
14:43:44   40    0   1949    1936   -13
14:43:45   40    0   1949    1936   -13
14:43:46   40    0   1949    1936   -13
14:43:47   40    0   1949    1936   -13
14:43:48   40    0   1949    1936   -13
14:43:49   40    0   1949    1936   -13
14:43:50   40    0   1949    1936   -13
14:43:51   40    0   1949    1936   -13
14:43:52   40    0   1949    1936   -13
14:43:53   40    0   1949    1936   -13
14:43:54   40    0   1949    1936   -13
14:43:55   40    0   1949    1936   -13
14:43:56   40    0   1949    1936   -13
14:43:57   40    0   1949    1936   -13
14:43:58   40    0   1949    1936   -13
14:43:59   40    0   1949    1936   -13
14:44:00   40    0   1949    1936   -13
14:44:01   40    0   1949    1936   -13
14:44:02   40    0   1949    1936   -13
14:44:03   40    0   1949    1936   -13
14:44:04   40    0   1949    1936   -13
14:44:05   40    0   1949    1936   -13
14:44:06   40    0   1949    1936   -13
14:44:07   40    0   1949    1936   -13
14:44:08   40    0   1949    1936   -13
14:44:09   40    0   1949    1936   -13
14:44:10   40    0   1949    1936   -13
14:44:11   40    0   1949    1936   -13
14:44:12   40    0   1949    1936   -13
14:44:13   40    0   1949    1936   -13
14:44:14   40    0   1949    1936   -13
14:44:15   40    0   1949    1936   -13
14:44:16   40    0   1949    1936   -13
14:44:17   40    0   1949    1936   -13
14:44:18   40    0   1949    1936   -13
14:44:19   40    0   1949    1936   -13
14:44:20   40    0   1949    1936   -13
14:44:21   40    0   1949    1936   -13
14:44:22   40    0   1949    1936   -13
14:44:23   40    0   1949    1936   -13
14:44:24   40    0   1949    1936   -13
14:44:25   40    0   1949    1936   -13
14:44:26   40    0   1949    1936   -13
14:44:27   40    0   1949    1936   -13
14:44:28   40    0   1949    1936   -13
14:44:29   40    0   1949    1936   -13
14:44:30   40    0   1949    1936   -13
14:44:31   40    0   1949    1936   -13
14:44:32   40    0   1949    1936   -13
14:44:33   40    0   1949    1936   -13
14:44:34   40    0   1949    1936   -13
14:44:35   40    0   1949    1936   -13
14:44:36   40    0   1949    1936   -13
